Country,YR2000,YR2001,YR2002,YR2003,YR2004,YR2005,YR2006,YR2007,YR2008,YR2009,YR2010,YR2011,YR2012,YR2013,YR2014,YR2015,latitude,longitude
Afghanistan,3587336,3809767,2510294,2136043,2414401,2166149,2107519,3057661,2833128,2887123,3054709,2664436,2586152,2556556,2596270,2666254,33.8332481,66.0252838
Albania,6802,7626,10761,10385,10470,12722,14080,15340,15006,15711,14772,13551,12568,10084,10158,10421,41.1111336,20.0274525
Angola,433760,470625,435421,329583,228838,215827,206501,186155,171393,141021,134858,128664,19258,10297,9484,11869,-12.3335552,17.539465
Armenia,5786,7207,13249,13162,13424,13965,14918,15436,16336,18000,17547,16487,15935,12021,11848,11218,40.2926636,44.9394722
Azerbaijan,284277,268759,260214,253255,250583,233675,126068,15916,16319,16939,16753,16162,15537,10813,10515,9712,40.3310051,47.8082008
Bangladesh,5401,5548,5808,5565,5731,7304,7803,10243,10098,10432,10049,10056,10161,9839,10883,12173,23.7301044,90.3065262
Bhutan,108945,110845,112523,103978,105255,106537,108073,110598,104965,89070,75070,57989,41590,31567,23642,17720,27.4168797,90.434761
Bosnia and Herzegovina,504981,447321,406448,300006,228831,109930,199946,78273,74366,70018,63004,58578,51822,26811,21888,18769,44.1653328,17.7902412
Burundi,568084,553999,574557,531637,485773,438706,396541,375727,281592,94239,84064,101288,73363,72652,72493,292764,-3.3652081,29.8865089
Cambodia,36855,34759,33456,31407,18121,17806,17965,17704,17253,17025,16314,15205,14024,13748,13071,12803,12.5704231,104.8139114
Cameroon,2062,2724,5225,6206,7629,9101,10384,11508,13870,14766,14963,15163,13382,11442,10766,10581,5.6854768,12.7228775
Central African Republic,139,28704,25376,35400,31069,42890,71685,98104,125106,159554,164905,162862,164568,252865,412041,471104,6.5741234,20.4869232
Chad,54962,46294,47349,52275,52663,48400,36300,55722,55105,55014,53733,42640,39694,48644,48258,14940,15.3676529,18.6675816
China,110975,117409,132115,132406,134724,124101,140598,149095,175180,180558,184602,190369,193453,195137,210802,212911,36.5530853,103.9754333
Colombia,9279,17938,30625,37995,47381,60450,72796,551744,373532,389753,395577,395949,394117,396635,360298,340240,3.9976072,-73.2779694
"Congo, Dem. Rep.",371713,392146,421362,453465,462208,430929,401914,370374,367995,455852,476693,491481,509290,499541,516771,541499,-4.0383,21.7587
"Congo, Rep.",27579,24237,28002,28958,28152,24438,20609,19735,19925,20544,20679,12839,12119,11751,14500,14781,-4.2634,15.2429
Cote d'Ivoire,773,858,23741,33637,23655,18338,26315,22232,22227,23153,41758,154824,100720,85729,71966,71105,7.5987554,-5.5525746
Croatia,335199,290279,274818,230189,215475,119148,93767,100423,97012,76478,65861,62649,62606,49760,40122,33451,45.4443054,15.7345037
