Country Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,Total
Afghanistan,6339095,6306301,4552153,3374576,2731169,2679133,2674236,2676674,2667115,2601691,3587336,3809767,2510294,2136043,2414401,2166149,2107519,3057661,2833128,2887123,3054709,2664436,2586152,2556502,2596270,2666305,2501410,82737348
Iraq,1133805,1321853,1343824,771077,749834,718719,714730,707338,675030,642886,526179,530511,422512,368580,311884,262299,1450905,2309245,1903519,1785212,1683579,1428308,746206,401466,369954,264094,315998,23859547
Somalia,470174,732594,812195,574617,631426,638698,636985,608094,557959,524613,475655,440134,432316,402336,389314,395553,464038,457356,561155,678309,770154,1077048,1136719,1121770,1106434,1123156,1012277,18231079
Syrian Arab Republic,2148,3037,4408,5404,7087,7994,8609,8653,8126,6695,5871,4869,18913,20819,21439,16401,12337,13690,15211,17914,18452,19931,729022,2468332,3887491,4873243,5524333,17730429
Sudan,523998,196242,267767,393871,405135,445280,475305,364589,390013,485460,494363,489950,508877,606242,730650,693632,686311,523032,419248,368195,387288,500014,568943,648942,665967,627087,650588,13516989
Vietnam,496029,498323,517111,527627,539101,543541,518340,476795,435437,405377,370758,353224,373741,363179,349780,358268,374279,327776,328183,339289,338698,337829,336939,314107,313418,313155,329331,10779635
Burundi,191622,223946,184135,871382,389706,350582,428680,519123,502568,527449,568084,553999,574557,531637,485773,438706,396541,375727,281592,94239,84064,101288,73363,72647,72493,292764,408036,9594703
"Congo, Dem. Rep.",67423,65816,81269,74826,73286,89738,158794,173995,158833,255950,371713,392146,421362,453465,462208,430929,401914,370374,367995,455852,476693,491481,509290,499563,516771,541496,537429,8900611
Liberia,735689,673435,520915,704051,797835,744637,784008,493340,365398,294694,266930,244608,275422,353344,335467,231139,160548,91540,75213,71599,70129,66780,23428,17558,13572,9991,6513,8427783
Rwanda,361322,431240,434736,450462,2257573,1819366,469136,68003,77743,88944,119056,84513,75257,75263,63812,100264,92966,80964,72530,129109,115524,106833,97373,83955,79408,286366,286033,8407751
Bosnia and Herzegovina,,,437501,618427,776084,769753,993868,849241,640075,598193,504981,447321,406448,300006,228831,109930,199946,78273,74366,70018,63004,58578,51822,26790,21888,18769,18179,8362292
Eritrea,43,500633,503200,427213,422433,286712,332225,319077,346781,347138,376851,333229,318176,124121,131131,144066,193745,208748,186398,209168,222460,251954,285371,308236,363092,407449,459390,8009040
Myanmar,28,40053,245130,281574,204510,152298,143017,135772,133407,131663,137128,145856,148501,151384,161013,164864,202826,191313,184413,406669,415670,414626,415371,479606,479006,451805,490265,6507768
Angola,407760,381636,300492,323831,282577,246657,249687,267696,319430,353478,433760,470625,435421,329583,228838,215827,206501,186155,171393,141021,134858,128664,19258,10286,9484,11869,8363,6275150
Mozambique,1247992,1316636,1445474,1172550,234497,125562,34657,33652,59,35,30,46,130,111,104,104,231,222,208,136,131,155,160,56,58,57,33,5613086
West Bank and Gaza,8521,65177,95343,81474,82564,72768,80215,76821,77524,100602,110640,349161,428782,350568,350617,349673,334142,341237,340016,95201,93323,94150,94918,96044,97212,98018,97749,4462460
Colombia,494,740,843,1042,1363,1902,2168,2377,3538,4413,9279,17938,30625,37995,47381,60450,72796,551744,373532,389753,395577,395949,394117,396717,360298,340127,311051,4204209
Croatia,,,168571,151688,76256,245572,310088,349307,338089,353725,335199,290279,274818,230189,215475,119148,93767,100423,97012,76478,65861,62649,62606,49756,40122,33451,26211,4166740
